INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"2020-055A","46027","PAYLOAD","STARLINK-1522","US","2020-08-07","AFETR","","95.64","53.00","551","548","","","0","LARGE","7509","2020","55","A","Y","STARLINK-1522","2020-055A","46027"
"2020-055AA","46051","PAYLOAD","STARLINK-1540","US","2020-08-07","AFETR","","95.61","53.01","549","547","","","0","LARGE","7515","2020","55","AA","Y","STARLINK-1540","2020-055AA","46051"
"2020-055AB","46052","PAYLOAD","STARLINK-1541","US","2020-08-07","AFETR","","95.59","53.03","548","546","","","0","LARGE","7515","2020","55","AB","Y","STARLINK-1541","2020-055AB","46052"
"2020-055AC","46053","PAYLOAD","STARLINK-1543","US","2020-08-07","AFETR","","95.59","53.01","549","545","","","0","LARGE","7515","2020","55","AC","Y","STARLINK-1543","2020-055AC","46053"
"2020-055AD","46054","PAYLOAD","STARLINK-1548","US","2020-08-07","AFETR","","95.60","53.00","548","546","","","0","LARGE","7515","2020","55","AD","Y","STARLINK-1548","2020-055AD","46054"
"2020-055AE","46055","PAYLOAD","STARLINK-1554","US","2020-08-07","AFETR","","95.59","53.03","549","546","","","0","LARGE","7515","2020","55","AE","Y","STARLINK-1554","2020-055AE","46055"
"2020-055AF","46056","PAYLOAD","STARLINK-1561","US","2020-08-07","AFETR","","95.61","53.00","549","547","","","0","LARGE","7515","2020","55","AF","Y","STARLINK-1561","2020-055AF","46056"
"2020-055AG","46057","PAYLOAD","STARLINK-1562","US","2020-08-07","AFETR","","95.64","53.00","551","548","","","0","LARGE","7486","2020","55","AG","Y","STARLINK-1562","2020-055AG","46057"
"2020-055AH","46058","PAYLOAD","STARLINK-1564","US","2020-08-07","AFETR","","95.59","53.02","548","546","","","0","LARGE","7515","2020","55","AH","Y","STARLINK-1564","2020-055AH","46058"
"2020-055AJ","46059","PAYLOAD","STARLINK-1570","US","2020-08-07","AFETR","","95.59","53.02","549","546","","","0","LARGE","7515","2020","55","AJ","Y","STARLINK-1570","2020-055AJ","46059"
"2020-055AK","46060","PAYLOAD","STARLINK-1572","US","2020-08-07","AFETR","","95.59","53.03","548","547","","","0","LARGE","7515","2020","55","AK","Y","STARLINK-1572","2020-055AK","46060"
"2020-055AL","46061","PAYLOAD","STARLINK-1573","US","2020-08-07","AFETR","","95.59","53.03","548","547","","","0","LARGE","7515","2020","55","AL","Y","STARLINK-1573","2020-055AL","46061"
"2020-055AM","46062","PAYLOAD","STARLINK-1574","US","2020-08-07","AFETR","","95.59","53.03","549","545","","","0","LARGE","7515","2020","55","AM","Y","STARLINK-1574","2020-055AM","46062"
"2020-055AN","46063","PAYLOAD","STARLINK-1577","US","2020-08-07","AFETR","","95.58","53.04","548","545","","","0","LARGE","7515","2020","55","AN","Y","STARLINK-1577","2020-055AN","46063"
"2020-055AP","46064","PAYLOAD","STARLINK-1583","US","2020-08-07","AFETR","","95.59","53.03","549","546","","","0","LARGE","7515","2020","55","AP","Y","STARLINK-1583","2020-055AP","46064"
"2020-055AQ","46065","PAYLOAD","STARLINK-1515","US","2020-08-07","AFETR","","95.64","53.00","551","549","","","0","LARGE","7515","2020","55","AQ","Y","STARLINK-1515","2020-055AQ","46065"
"2020-055AR","46066","PAYLOAD","STARLINK-1525","US","2020-08-07","AFETR","","95.64","53.00","551","549","","","0","LARGE","7499","2020","55","AR","Y","STARLINK-1525","2020-055AR","46066"
"2020-055AS","46067","PAYLOAD","STARLINK-1529","US","2020-08-07","AFETR","","95.64","52.99","551","549","","","0","LARGE","7512","2020","55","AS","Y","STARLINK-1529","2020-055AS","46067"
"2020-055AT","46068","PAYLOAD","STARLINK-1532","US","2020-08-07","AFETR","","95.64","52.99","551","549","","","0","LARGE","7500","2020","55","AT","Y","STARLINK-1532","2020-055AT","46068"
"2020-055AU","46069","PAYLOAD","STARLINK-1533","US","2020-08-07","AFETR","","95.64","53.01","550","549","","","0","LARGE","7509","2020","55","AU","Y","STARLINK-1533","2020-055AU","46069"
"2020-055AV","46070","PAYLOAD","STARLINK-1536","US","2020-08-07","AFETR","","95.64","53.00","551","549","","","0","LARGE","7515","2020","55","AV","Y","STARLINK-1536","2020-055AV","46070"
"2020-055AW","46071","PAYLOAD","STARLINK-1538","US","2020-08-07","AFETR","","95.64","53.00","551","549","","","0","LARGE","7515","2020","55","AW","Y","STARLINK-1538","2020-055AW","46071"
"2020-055AX","46072","PAYLOAD","STARLINK-1539","US","2020-08-07","AFETR","","95.64","52.99","551","549","","","0","LARGE","7511","2020","55","AX","Y","STARLINK-1539","2020-055AX","46072"
"2020-055AY","46073","PAYLOAD","STARLINK-1542","US","2020-08-07","AFETR","","95.64","53.00","551","549","","","0","LARGE","7506","2020","55","AY","Y","STARLINK-1542","2020-055AY","46073"
