COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"ARAB SATELLITE COMMUNICATIONS ORGANIZATION","AB","0","14","0","0","14","1","0","0","1","15"
"ASIASAT CORP","AC","0","8","0","0","8","0","0","0","0","8"
"Republic of Angola","AGO","0","1","0","0","1","0","0","0","0","1"
"ALGERIA","ALG","0","6","0","0","6","0","0","0","0","6"
"ARGENTINA","ARGN","0","34","0","1","35","2","0","0","2","37"
"AUSTRIA","ASRA","0","3","0","0","3","0","0","0","0","3"
"AUSTRALIA","AUS","0","22","2","0","24","5","0","0","5","29"
"AZERBAIJAN","AZER","0","3","0","0","3","0","0","0","0","3"
"BELGIUM","BEL","0","6","0","0","6","0","0","0","0","6"
"BELARUS","BELA","0","2","0","0","2","0","0","0","0","2"
"BERMUDA","BERM","0","1","0","0","1","0","0","0","0","1"
"PEOPLES REPUBLIC OF BANGLADESH","BGD","0","1","0","0","1","1","0","0","1","2"
"Bulgaria","BGR","0","1","0","0","1","0","0","0","0","1"
"BOLIVIA","BOL","0","1","0","0","1","0","0","0","0","1"
"BRAZIL","BRAZ","0","17","0","0","17","3","0","0","3","20"
"CANADA","CA","0","60","0","5","65","2","0","2","4","69"
"PEOPLES REPUBLIC OF CHINA/BRAZIL","CHBZ","0","4","0","48","52","0","0","39","39","91"
"CHILE","CHLE","0","3","0","0","3","0","0","0","0","3"
"COMMONWEALTH OF INDEPENDENT STATES","CIS","8","1548","1049","4650","7255","2057","2874","10390","15321","22576"
"COLOMBIA","COL","0","2","0","0","2","0","0","0","0","2"
"Republic of Costa Rica","CRI","0","0","0","0","0","1","0","0","1","1"
"CZECHOSLOVAKIA","CZCH","0","6","0","0","6","2","0","0","2","8"
"DENMARK","DEN","0","10","0","0","10","2","0","0","2","12"
"ECUADOR","ECU","0","2","0","0","2","0","0","0","0","2"
"EGYPT","EGYP","0","9","0","0","9","0","0","0","0","9"
"EUROPEAN SPACE AGENCY","ESA","0","93","7","50","150","12","7","21","40","190"
"EUROPEAN SPACE RESEARCH ORGANIZATION","ESRO","0","0","0","0","0","7","0","3","10","10"
"ESTONIA","EST","0","2","0","0","2","0","0","0","0","2"
"EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES","EUME","0","9","0","8","17","0","0","0","0","17"
"EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT)","EUTE","0","56","0","0","56","0","0","0","0","56"
"FRANCE/GERMANY","FGER","0","2","0","0","2","0","0","0","0","2"
"FINLAND","FIN","0","9","0","0","9","1","0","0","1","10"
"FRANCE","FR","0","69","163","348","580","10","80","653","743","1323"
"FRANCE/ITALY","FRIT","0","2","0","0","2","0","0","0","0","2"
"GERMANY","GER","0","71","0","1","72","17","0","1","18","90"
"REPUBLIC OF GHANA","GHA","0","0","0","0","0","1","0","0","1","1"
"GLOBALSTAR","GLOB","0","84","0","1","85","0","0","1","1","86"
"GREECE","GREC","0","3","0","0","3","2","0","0","2","5"
"HUNGARY","HUN","0","0","0","0","0","3","0","0","3","3"
"INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT)","IM","0","18","0","0","18","0","0","0","0","18"
"INDIA","IND","0","100","38","81","219","13","25","441","479","698"
"INDONESIA","INDO","0","18","0","0","18","1","0","0","1","19"
"IRAN","IRAN","0","2","1","0","3","4","4","0","8","11"
"IRAQ","IRAQ","0","1","0","0","1","0","0","0","0","1"
