,SATELLITE NAME,US SATELLITE NUMBER,BREAKUP DATE,DEBRIS CATALOGED,ASSESSED CAUSE,ADDITIONAL INFORMATION,Show,Message,message,video_time_in_seconds
0,TRANSIT 4A R/B,118,1961-06-29,296,PROPULSION,ABLESTAR STAGE,True,PROPULSION SYSTEM FAILURE,[June 1961]  TRANSIT 4A R/B: PROPULSION SYSTEM FAILURE (+296),6
1,ATLAS CENTAUR 2,694,1963-11-27,19,PROPULSION,CENTAUR STAGE,True,PROPULSION SYSTEM FAILURE,[November 1963]  ATLAS CENTAUR 2: PROPULSION SYSTEM FAILURE (+19),16
2,COSMOS 61-63 R/B,1270,1965-03-15,147,UNKNOWN,COSMOS SECOND STAGE,True,UNKNOWN CAUSE,[March 1965]  COSMOS 61-63 R/B: UNKNOWN CAUSE (+147),21
3,OV2-1/LCS 2 R/B,1822,1965-10-15,473,PROPULSION,TITAN TRANSTAGE,True,PROPULSION SYSTEM FAILURE,[October 1965]  OV2-1/LCS 2 R/B: PROPULSION SYSTEM FAILURE (+473),24
4,COSMOS 249,3504,1968-10-20,108,DELIBERATE,SELF-DESTRUCT,True,DELIBERATE SELF-DESTRUCT,[October 1968]  COSMOS 249: DELIBERATE SELF-DESTRUCT (+108),36
5,COSMOS 252,3530,1968-11-01,139,DELIBERATE,SELF-DESTRUCT,True,DELIBERATE SELF-DESTRUCT,[November 1968]  COSMOS 252: DELIBERATE SELF-DESTRUCT (+139),36
6,METEOR 1-1 R/B,3836,1969-03-28,37,UNKNOWN,VOSTOK FINAL STAGE,True,UNKNOWN CAUSE,[March 1969]  METEOR 1-1 R/B: UNKNOWN CAUSE (+37),38
7,OPS 7613 R/B,4159,1969-10-04,261,UNKNOWN,AGENA D STAGE,True,UNKNOWN CAUSE,[October 1969]  OPS 7613 R/B: UNKNOWN CAUSE (+261),40
8,NIMBUS 4 R/B,4367,1970-10-17,441,UNKNOWN,AGENA D STAGE,True,UNKNOWN CAUSE,[October 1970]  NIMBUS 4 R/B: UNKNOWN CAUSE (+441),44
9,COSMOS 374,4594,1970-10-23,99,DELIBERATE,SELF-DESTRUCT,True,DELIBERATE SELF-DESTRUCT,[October 1970]  COSMOS 374: DELIBERATE SELF-DESTRUCT (+99),44
10,COSMOS 375,4598,1970-10-30,47,DELIBERATE,SELF-DESTRUCT,True,DELIBERATE SELF-DESTRUCT,[October 1970]  COSMOS 375: DELIBERATE SELF-DESTRUCT (+47),44
11,COSMOS 397,4964,1971-02-25,116,DELIBERATE,SELF-DESTRUCT,True,DELIBERATE SELF-DESTRUCT,[February 1971]  COSMOS 397: DELIBERATE SELF-DESTRUCT (+116),46
12,COSMOS 462,5646,1971-12-03,25,DELIBERATE,SELF-DESTRUCT,True,DELIBERATE SELF-DESTRUCT,[December 1971]  COSMOS 462: DELIBERATE SELF-DESTRUCT (+25),49
13,ESSA 8 (TOS F) R/B,3616,1973-11-15,18,PROPULSION,DELTA SECOND STAGE,True,PROPULSION SYSTEM FAILURE,[November 1973]  ESSA 8 (TOS F) R/B: PROPULSION SYSTEM FAILURE (+18),57
14,NOAA 3 R/B,6921,1973-12-28,220,PROPULSION,DELTA SECOND STAGE,True,PROPULSION SYSTEM FAILURE,[December 1973]  NOAA 3 R/B: PROPULSION SYSTEM FAILURE (+220),57
15,COSMOS 699,7587,1975-04-17,50,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[April 1975]  COSMOS 699: UNKNOWN CAUSE (+50),62
16,LANDSAT 1 R/B,6127,1975-05-22,244,PROPULSION,DELTA SECOND STAGE,True,PROPULSION SYSTEM FAILURE,[May 1975]  LANDSAT 1 R/B: PROPULSION SYSTEM FAILURE (+244),63
17,NOAA 4 R/B,7532,1975-08-20,185,PROPULSION,DELTA SECOND STAGE,True,PROPULSION SYSTEM FAILURE,[August 1975]  NOAA 4 R/B: PROPULSION SYSTEM FAILURE (+185),64
18,COSMOS 777,8416,1976-01-25,62,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[January 1976]  COSMOS 777: UNKNOWN CAUSE (+62),65
19,LANDSAT 2 R/B,7616,1976-02-09,207,PROPULSION,DELTA SECOND STAGE,True,PROPULSION SYSTEM FAILURE,[February 1976]  LANDSAT 2 R/B: PROPULSION SYSTEM FAILURE (+207),66
20,COSMOS 886,9634,1976-12-27,76,DELIBERATE,SELF-DESTRUCT,True,DELIBERATE SELF-DESTRUCT,[December 1976]  COSMOS 886: DELIBERATE SELF-DESTRUCT (+76),69
21,COSMOS 838,8932,1977-05-17,40,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[May 1977]  COSMOS 838: UNKNOWN CAUSE (+40),71
22,HIMAWARI 1 R/B,10144,1977-07-14,177,PROPULSION,DELTA SECOND STAGE,True,PROPULSION SYSTEM FAILURE,[July 1977]  HIMAWARI 1 R/B: PROPULSION SYSTEM FAILURE (+177),71
23,COSMOS 839,9011,1977-09-29,70,BATTERY,,True,BATTERY FAILURE,[September 1977]  COSMOS 839: BATTERY FAILURE (+70),72
24,COSMOS 970,10531,1977-12-21,70,DELIBERATE,SELF-DESTRUCT,True,DELIBERATE SELF-DESTRUCT,[December 1977]  COSMOS 970: DELIBERATE SELF-DESTRUCT (+70),73
