SATELLITE NAME,INTERNATIONAL DESIGNATOR,US SATELLITE NUMBER,LAUNCH DATE,BREAKUP DATE,DEBRIS CATALOGED,DEBRIS ON-ORBIT,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,year_LAUNCH,year_BREAKUP
TRANSIT 4A R/B,1961-015C,118,6/29/1961,6/29/1961,296,172,995,880,66.8,PROPULSION,ABLESTAR STAGE,1961,1961
SPUTNIK 29,1962-057A,443,10/24/1962,10/29/1962,24,0,260,200,65.1,PROPULSION,MOLNIYA FINAL STAGE,1962,1962
ATLAS CENTAUR 2,1963-047A,694,11/27/1963,11/27/1963,19,8,1785,475,30.3,PROPULSION,CENTAUR STAGE,1963,1963
COSMOS 50,1964-070A,919,10/28/1964,11/5/1964,96,0,220,175,51.2,DELIBERATE,SELF-DESTRUCT,1964,1964
COSMOS 57,1965-012A,1093,2/22/1965,2/22/1965,167,0,425,165,64.8,DELIBERATE,SELF-DESTRUCT,1965,1965
COSMOS 61-63 R/B,1965-020D,1270,3/15/1965,3/15/1965,147,18,1825,260,56.1,UNKNOWN,COSMOS SECOND STAGE,1965,1965
OV2-1/LCS 2 R/B,1965-082DM,1822,10/15/1965,10/15/1965,473,32,790,710,32.2,PROPULSION,TITAN TRANSTAGE,1965,1965
COSMOS 95,1965-088A,1706,11/4/1965,1/15/1966,1,0,300,180,48.4,UNKNOWN,,1965,1966
OV2-3/ et al. R/B,1965-108A,1863,12/21/1965,12/21/1965,108,101,33660,165,26.4,PROPULSION,TITAN TRANSTAGE,1965,1965
OPS 3031,1966-012C,2015,2/15/1966,2/15/1966,38,0,270,150,96.5,UNKNOWN,INFLATABLE SPHERE,1966,1966
GEMINI 9 ATDA R/B,1966-046B,2188,6/1/1966,6/1/1966,51,0,275,240,28.8,UNKNOWN,ATLAS CORE STAGE,1966,1966
PAGEOS,1966-056A,2253,6/24/1966,7/12/1975,79,1,5170,3200,85.3,UNKNOWN,INFLATABLE SPHERE,1966,1975
AS-203,1966-059A,2289,7/5/1966,7/5/1966,34,0,215,185,32,DELIBERATE,SATURN S-IVB STAGE,1966,1966
COSMOS U-1,1966-088A,2437,9/17/1966,9/17/1966,52,0,855,140,49.6,DELIBERATE,SELF-DESTRUCT,1966,1966
COSMOS U-2,1966-101A,2536,11/2/1966,11/2/1966,41,0,885,145,49.6,DELIBERATE,SELF-DESTRUCT,1966,1966
COSMOS 192,1967-116A,3047,11/23/1967,8/30/2009,4,1,715,710,74,UNKNOWN,,1967,2009
COSMOS 199,1968-003A,3099,1/16/1968,1/24/1968,3,0,355,200,65.6,DELIBERATE,SELF-DESTRUCT,1968,1968
APOLLO 6 R/B,1968-025B,3171,4/4/1968,4/13/1968,16,0,360,200,32.6,PROPULSION,SATURN S-IVB STAGE,1968,1968
OV2-5 R/B,1968-081E,3432,9/26/1968,2/21/1992,29,29,35810,35100,11.9,PROPULSION,TITAN TRANSTAGE,1968,1992
COSMOS 248,1968-090A,3503,10/19/1968,11/1/1968,5,0,545,475,62.2,DELIBERATE,DEBRIS IMPACT,1968,1968
COSMOS 249,1968-091A,3504,10/20/1968,10/20/1968,108,39,2165,490,62.3,DELIBERATE,SELF-DESTRUCT,1968,1968
COSMOS 252,1968-097A,3530,11/1/1968,11/1/1968,139,40,2140,535,62.3,DELIBERATE,SELF-DESTRUCT,1968,1968
ESSA 8 (TOS F) R/B,1968-114B,3616,12/15/1968,11/15/1973,18,18,1462,1413,101.6,PROPULSION,DELTA SECOND STAGE,1968,1973
OPS 0757 (TACSAT) R/B,1969-013B,3692,2/9/1969,2/28/2018,19,19,37257,35886,6.2,UNKNOWN,TITAN TRANSTAGE,1969,2018
METEOR 1-1 R/B,1969-029B,3836,3/26/1969,3/28/1969,37,0,850,460,81.2,UNKNOWN,VOSTOK FINAL STAGE,1969,1969
INTELSAT 3 F-5 R/B,1969-064B,4052,7/26/1969,7/26/1969,22,0,5445,270,30.4,PROPULSION,TE 364-4 STAGE,1969,1969
OPS 7613 R/B,1969-082AB,4159,9/30/1969,10/4/1969,261,63,940,905,70,UNKNOWN,AGENA D STAGE,1969,1969
NIMBUS 4 R/B,1970-025C,4367,4/8/1970,10/17/1970,441,299,1085,1065,99.9,UNKNOWN,AGENA D STAGE,1970,1970
COSMOS 374,1970-089A,4594,10/23/1970,10/23/1970,99,20,2130,530,62.9,DELIBERATE,SELF-DESTRUCT,1970,1970
COSMOS 375,1970-091A,4598,10/30/1970,10/30/1970,47,15,2100,525,62.8,DELIBERATE,SELF-DESTRUCT,1970,1970
COSMOS 397,1971-015A,4964,2/25/1971,2/25/1971,116,44,2200,575,65.8,DELIBERATE,SELF-DESTRUCT,1971,1971
COSMOS 462,1971-106A,5646,12/3/1971,12/3/1971,25,0,1800,230,65.7,DELIBERATE,SELF-DESTRUCT,1971,1971
LANDSAT 1 R/B,1972-058B,6127,7/23/1972,5/22/1975,244,47,910,635,98.3,PROPULSION,DELTA SECOND STAGE,1972,1975
SALYUT 2 R/B,1973-017B,6399,4/3/1973,4/3/1973,25,0,245,195,51.5,PROPULSION,PROTON-K THIRD STAGE,1973,1973
COSMOS 554,1973-021A,6432,4/19/1973,5/6/1973,193,0,350,170,72.9,DELIBERATE,SELF-DESTRUCT,1973,1973
NOAA 3 R/B,1973-086B,6921,11/6/1973,12/28/1973,220,198,1510,1500,102.1,PROPULSION,DELTA SECOND STAGE,1973,1973
DMSP 5B F5 R/B,1974-015B,7219,3/16/1974,1/17/2005,7,7,885,775,99.1,"COLLISION, ACCIDENTAL",HIT BY DEBRIS (26207),1974,2005
NOAA 4 R/B,1974-089D,7532,11/15/1974,8/20/1975,185,160,1460,1445,101.7,PROPULSION,DELTA SECOND STAGE,1974,1975
COSMOS 699,1974-103A,7587,12/24/1974,4/17/1975,50,0,445,425,65,UNKNOWN,COSMOS 699 CLASS,1974,1975
LANDSAT 2 R/B,1975-004B,7616,1/22/1975,2/9/1976,207,32,915,740,97.8,PROPULSION,DELTA SECOND STAGE,1975,1976
NIMBUS 6 R/B,1975-052B,7946,6/12/1975,5/1/1991,307,231,1105,1095,99.6,PROPULSION,DELTA SECOND STAGE,1975,1991
COSMOS 758,1975-080A,8191,9/5/1975,9/6/1975,76,0,325,175,67.1,DELIBERATE,SELF-DESTRUCT,1975,1975
COSMOS 777,1975-102A,8416,10/29/1975,1/25/1976,62,0,440,430,65,UNKNOWN,COSMOS 699 CLASS,1975,1976
COSMOS 838,1976-063A,8932,7/2/1976,5/17/1977,40,0,445,415,65.1,UNKNOWN,COSMOS 699 CLASS,1976,1977
COSMOS 839,1976-067A,9011,7/8/1976,9/29/1977,70,68,2100,980,65.9,BATTERY,,1976,1977
COSMOS 844,1976-072A,9046,7/22/1976,7/25/1976,248,0,355,170,67.1,DELIBERATE,SELF-DESTRUCT,1976,1976
NOAA 5 R/B,1976-077B,9063,7/29/1976,12/24/1977,184,174,1520,1505,102,PROPULSION,DELTA SECOND STAGE,1976,1977
