SATELLITE NAME,INTERNATIONAL DESIGNATOR,US SATELLITE NUMBER,LAUNCH DATE,BREAKUP DATE,DEBRIS CATALOGED,DEBRIS ON-ORBIT,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,year_LAUNCH,year_BREAKUP,,,,,,,,
TRANSIT 4A R/B,1961-015C,118,29-Jun-61,29-Jun-61,296,172,995,880,66.8,PROPULSION,ABLESTAR STAGE,1961,1961,,,,,,,,
SPUTNIK 29,1962-057A,443,24-Oct-62,29-Oct-62,24,0,260,200,65.1,PROPULSION,MOLNIYA FINAL STAGE,1962,1962,,,,,,,,
ATLAS CENTAUR 2,1963-047A,694,27-Nov-63,27-Nov-63,19,8,1785,475,30.3,PROPULSION,CENTAUR STAGE,1963,1963,,,,,,,,
COSMOS 50,1964-070A,919,28-Oct-64,5-Nov-64,96,0,220,175,51.2,DELIBERATE,SELF-DESTRUCT,1964,1964,,,,,,,,
COSMOS 57,1965-012A,1093,22-Feb-65,22-Feb-65,167,0,425,165,64.8,DELIBERATE,SELF-DESTRUCT,1965,1965,,,,,,,,
COSMOS 61-63 R/B,1965-020D,1270,15-Mar-65,15-Mar-65,147,18,1825,260,56.1,UNKNOWN,COSMOS SECOND STAGE,1965,1965,,,,,,,,
OV2-1/LCS 2 R/B,1965-082DM,1822,15-Oct-65,15-Oct-65,473,32,790,710,32.2,PROPULSION,TITAN TRANSTAGE,1965,1965,,,,,,,,
COSMOS 95,1965-088A,1706,4-Nov-65,15-Jan-66,1,0,300,180,48.4,UNKNOWN,,1965,1966,,,,,,,,
OV2-3/ et al. R/B,1965-108A,1863,21-Dec-65,21-Dec-65,108,101,33660,165,26.4,PROPULSION,TITAN TRANSTAGE,1965,1965,,,,,,,,
OPS 3031,1966-012C,2015,15-Feb-66,15-Feb-66,38,0,270,150,96.5,UNKNOWN,INFLATABLE SPHERE,1966,1966,,,,,,,,
