CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-12-24T01:46:09","18 SPCS","IRIDIUM 153","2017-083J","EARTH","TEME","UTC","SGP4","2020-12-23T20:16:08.240448","14.34217882","0.00030520","86.3977","46.8116","102.5387","257.6151","0","U","43078","999","15842","0.00002583100000","0.00000092","0.0000000000000","7155.803","100.403","779.852","775.484","PAYLOAD","LARGE","US","2017-12-23","AFWTR","","2908600","168285876","0 IRIDIUM 153","1 43078U 17083J   20358.84453982  .00000092  00000-0  25831-4 0  9996","2 43078  86.3977  46.8116 0003052 102.5387 257.6151 14.34217882158423"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-12-23T22:26:10","18 SPCS","COSMOS 1867","1987-060A","EARTH","TEME","UTC","SGP4","2020-12-23T16:40:56.456832","14.31117604","0.00163420","65.0095","231.0985","282.2897","77.6357","0","U","18187","999","74795","-0.00000106380000","-0.00000103","0.0000000000000","7166.134","100.620","799.710","776.288","PAYLOAD","LARGE","CIS","1987-07-10","TTMTR","","2908462","168282414","0 COSMOS 1867","1 18187U 87060A   20358.69509788 -.00000103  00000-0 -10638-5 0  9995","2 18187  65.0095 231.0985 0016342 282.2897  77.6357 14.31117604747959"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-12-23T19:41:42","18 SPCS","IRIDIUM 153","2017-083J","EARTH","TEME","UTC","SGP4","2020-12-23T10:13:20.239680","14.34217844","0.00030430","86.3978","46.9866","102.9365","257.2171","0","U","43078","999","15836","0.00002656400000","0.00000094","0.0000000000000","7155.803","100.403","779.846","775.491","PAYLOAD","LARGE","US","2017-12-23","AFWTR","","2908439","168279006","0 IRIDIUM 153","1 43078U 17083J   20358.42592870  .00000094  00000-0  26564-4 0  9996","2 43078  86.3978  46.9866 0003043 102.9365 257.2171 14.34217844158366"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-12-23T19:41:42","18 SPCS","COSMOS 1867","1987-060A","EARTH","TEME","UTC","SGP4","2020-12-23T01:35:17.495808","14.31117566","0.00163200","65.0096","232.8587","282.2906","77.6351","0","U","18187","999","74763","0.00000089155000","-0.00000098","0.0000000000000","7166.134","100.620","799.694","776.304","PAYLOAD","LARGE","CIS","1987-07-10","TTMTR","","2908439","168264760","0 COSMOS 1867","1 18187U 87060A   20358.06617472 -.00000098  00000-0  89155-6 0  9999","2 18187  65.0096 232.8587 0016320 282.2906  77.6351 14.31117566747630"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-12-22T22:16:09","18 SPCS","IRIDIUM 153","2017-083J","EARTH","TEME","UTC","SGP4","2020-12-22T15:48:12.240000","14.34217713","0.00030220","86.3978","47.3074","103.7652","256.3880","0","U","43078","999","15825","0.00002414500000","0.00000087","0.0000000000000","7155.804","100.403","779.831","775.506","PAYLOAD","LARGE","US","2017-12-23","AFWTR","","2907859","168246907","0 IRIDIUM 153","1 43078U 17083J   20357.65847500  .00000087  00000-0  24145-4 0  9998","2 43078  86.3978  47.3074 0003022 103.7652 256.3880 14.34217713158257"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-12-22T19:30:16","18 SPCS","IRIDIUM 153","2017-083J","EARTH","TEME","UTC","SGP4","2020-12-22T09:06:20.235168","14.34217699","0.00030190","86.3978","47.4240","103.9858","256.1674","0","U","43078","999","15821","0.00002585000000","0.00000092","0.0000000000000","7155.804","100.403","779.829","775.508","PAYLOAD","LARGE","US","2017-12-23","AFWTR","","2907836","168244006","0 IRIDIUM 153","1 43078U 17083J   20357.37940087  .00000092  00000-0  25850-4 0  9991","2 43078  86.3978  47.4240 0003019 103.9858 256.1674 14.34217699158217"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-12-22T19:30:16","18 SPCS","COSMOS 1867","1987-060A","EARTH","TEME","UTC","SGP4","2020-12-22T08:49:00.874272","14.31117448","0.00163000","65.0081","234.8141","282.2910","77.6349","0","U","18187","999","74753","0.00000329960000","-0.00000092","0.0000000000000","7166.135","100.620","799.680","776.319","PAYLOAD","LARGE","CIS","1987-07-10","TTMTR","","2907836","168229760","0 COSMOS 1867","1 18187U 87060A   20357.36737123 -.00000092  00000-0  32996-5 0  9991","2 18187  65.0081 234.8141 0016300 282.2910  77.6349 14.31117448747530"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-12-22T06:26:10","18 SPCS","COSMOS 1867","1987-060A","EARTH","TEME","UTC","SGP4","2020-12-22T02:06:30.215808","14.31117524","0.00162980","65.0097","235.5967","282.2652","77.6607","0","U","18187","999","74772","0.00000305140000","-0.00000092","0.0000000000000","7166.134","100.620","799.679","776.320","PAYLOAD","LARGE","CIS","1987-07-10","TTMTR","","2907375","168214533","0 COSMOS 1867","1 18187U 87060A   20357.08784972 -.00000092  00000-0  30514-5 0  9998","2 18187  65.0097 235.5967 0016298 282.2652  77.6607 14.31117524747723"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-12-22T04:08:37","18 SPCS","COSMOS 1867","1987-060A","EARTH","TEME","UTC","SGP4","2020-12-21T22:45:14.891328","14.31117446","0.00162880","65.0081","235.9876","282.2482","77.6778","0","U","18187","999","74747","0.00000409070000","-0.00000089","0.0000000000000","7166.135","100.620","799.672","776.327","PAYLOAD","LARGE","CIS","1987-07-10","TTMTR","","2907352","168195806","0 COSMOS 1867","1 18187U 87060A   20356.94808902 -.00000089  00000-0  40907-5 0  9995","2 18187  65.0081 235.9876 0016288 282.2482  77.6778 14.31117446747473"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-12-22T04:08:37","18 SPCS","IRIDIUM 153","2017-083J","EARTH","TEME","UTC","SGP4","2020-12-21T16:21:40.233024","14.34217553","0.00030020","86.3979","47.7156","104.6802","255.4726","0","U","43078","999","15811","0.00002284000000","0.00000084","0.0000000000000","7155.804","100.403","779.817","775.521","PAYLOAD","LARGE","US","2017-12-23","AFWTR","","2907352","168210052","0 IRIDIUM 153","1 43078U 17083J   20356.68171566  .00000084  00000-0  22840-4 0  9999","2 43078  86.3979  47.7156 0003002 104.6802 255.4726 14.34217553158114"
