CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-19T20:45:13","18 SPCS","TBA - TO BE ASSIGNED","2013-037A","EARTH","TEME","UTC","SGP4","2013-07-20T02:37:19.902432","14.68123733","0.00089510","98.0639","218.7627","26.0601","33.9766","0","U","39208","999","2","0.00000000000000","-0.00000049","0.0000000000000","7045.205","98.084","673.376","660.764","TBA","","","","","","1518870","93369994","0 TBA - TO BE ASSIGNED","1 39208U 13037A   13201.10925813 -.00000049  00000-0  00000+0 0  9995","2 39208 098.0639 218.7627 0008951 026.0601 033.9766 14.68123733    24"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-19T20:48:51","18 SPCS","TBA - TO BE ASSIGNED","2013-037A","EARTH","TEME","UTC","SGP4","2013-07-20T02:37:19.902432","14.68123733","0.00089510","98.0639","218.7627","26.0601","33.9766","0","U","39208","999","2","0.00000000000000","-0.00000049","0.0000000000000","7045.205","98.084","673.376","660.764","TBA","","","","","","1518872","93369996","0 TBA - TO BE ASSIGNED","1 39208U 13037A   13201.10925813 -.00000049  00000-0  00000+0 0  9995","2 39208 098.0639 218.7627 0008951 026.0601 033.9766 14.68123733    24"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-19T21:17:23","18 SPCS","TBA - TO BE ASSIGNED","2013-037B","EARTH","TEME","UTC","SGP4","2013-07-20T02:46:52.316255","14.67242368","0.00048540","98.0580","218.7641","55.7756","38.8936","0","U","39209","999","1","0.00000000000000","-0.00000048","0.0000000000000","7048.026","98.143","673.312","666.470","TBA","","","","","","1518879","93370003","0 TBA - TO BE ASSIGNED","1 39209U 13037B   13201.11588329 -.00000048  00000-0  00000+0 0  9993","2 39209 098.0580 218.7641 0004854 055.7756 038.8936 14.67242368    11"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-19T21:24:17","18 SPCS","TBA - TO BE ASSIGNED","2013-037C","EARTH","TEME","UTC","SGP4","2013-07-20T02:46:58.253664","14.67634248","0.00064040","98.0600","218.7641","40.4891","54.7060","0","U","39210","999","2","0.00000000000000","-0.00000048","0.0000000000000","7046.772","98.117","673.149","664.124","TBA","","","","","","1518880","93370004","0 TBA - TO BE ASSIGNED","1 39210U 13037C   13201.11595201 -.00000048  00000-0  00000+0 0  9992","2 39210 098.0600 218.7641 0006404 040.4891 054.7060 14.67634248    28"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T00:10:44","18 SPCS","TBA - TO BE ASSIGNED","2013-037A","EARTH","TEME","UTC","SGP4","2013-07-20T05:37:17.687999","14.68130646","0.00087220","98.0589","218.8821","25.1290","335.0336","0","U","39208","999","4","0.00000000000000","-0.00000048","0.0000000000000","7045.183","98.083","673.193","660.903","TBA","","","","","","1518900","93370025","0 TBA - TO BE ASSIGNED","1 39208U 13037A   13201.23423250 -.00000048  00000-0  00000+0 0  9996","2 39208 098.0589 218.8821 0008722 025.1290 335.0336 14.68130646    47"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T00:15:12","18 SPCS","TBA - TO BE ASSIGNED","2013-037C","EARTH","TEME","UTC","SGP4","2013-07-20T05:37:24.733919","14.67609960","0.00063840","98.0626","218.8826","41.8857","318.2887","0","U","39210","999","4","0.00000000000000","-0.00000048","0.0000000000000","7046.849","98.118","673.213","664.216","TBA","","","","","","1518905","93370108","0 TBA - TO BE ASSIGNED","1 39210U 13037C   13201.23431405 -.00000048  00000-0  00000+0 0  9990","2 39210 098.0626 218.8826 0006384 041.8857 318.2887 14.67609960    46"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T00:13:22","18 SPCS","TBA - TO BE ASSIGNED","2013-037B","EARTH","TEME","UTC","SGP4","2013-07-20T05:37:30.245376","14.67164383","0.00051870","98.0627","218.8855","34.5547","325.5863","0","U","39209","999","3","0.00000000000000","-0.00000048","0.0000000000000","7048.276","98.148","673.797","666.485","TBA","","","","","","1518903","93370076","0 TBA - TO BE ASSIGNED","1 39209U 13037B   13201.23437784 -.00000048  00000-0  00000+0 0  9994","2 39209 098.0627 218.8855 0005187 034.5547 325.5863 14.67164383    31"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T02:21:53","18 SPCS","TBA - TO BE ASSIGNED","2013-037B","EARTH","TEME","UTC","SGP4","2013-07-20T06:02:37.059648","14.67197315","0.00045990","98.0612","218.8996","48.2038","44.0201","0","U","39209","999","3","0.00000000000000","-0.00000048","0.0000000000000","7048.171","98.146","673.277","666.794","TBA","","","","","","1519006","93372517","0 TBA - TO BE ASSIGNED","1 39209U 13037B   13201.25181782 -.00000048  00000-0  00000+0 0  9990","2 39209 098.0612 218.8996 0004599 048.2038 044.0201 14.67197315    34"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T02:21:53","18 SPCS","TBA - TO BE ASSIGNED","2013-037A","EARTH","TEME","UTC","SGP4","2013-07-20T06:03:00.592415","14.68139342","0.00086870","98.0589","218.8994","23.7155","70.7758","0","U","39208","999","4","0.00000000000000","-0.00000048","0.0000000000000","7045.155","98.083","673.140","660.900","TBA","","","","","","1519006","93372519","0 TBA - TO BE ASSIGNED","1 39208U 13037A   13201.25209019 -.00000048  00000-0  00000+0 0  9993","2 39208 098.0589 218.8994 0008687 023.7155 070.7758 14.68139342    45"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T02:21:53","18 SPCS","TBA - TO BE ASSIGNED","2013-037C","EARTH","TEME","UTC","SGP4","2013-07-20T06:03:02.367936","14.67617289","0.00063840","98.0630","218.9011","41.8283","52.3211","0","U","39210","999","4","0.00000000000000","-0.00000048","0.0000000000000","7046.826","98.118","673.190","664.192","TBA","","","","","","1519006","93372524","0 TBA - TO BE ASSIGNED","1 39210U 13037C   13201.25211074 -.00000048  00000-0  00000+0 0  9990","2 39210 098.0630 218.9011 0006384 041.8283 052.3211 14.67617289    41"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T09:58:19","18 SPCS","TBA - TO BE ASSIGNED","2013-037A","EARTH","TEME","UTC","SGP4","2013-07-20T12:09:51.824448","14.68134661","0.00094010","98.0580","219.1484","15.8795","344.2652","0","U","39208","999","8","0.00000000000000","-0.00000049","0.0000000000000","7045.170","98.083","673.658","660.412","TBA","","","","","","1519114","93375040","0 TBA - TO BE ASSIGNED","1 39208U 13037A   13201.50684982 -.00000049  00000-0  00000+0 0  9998","2 39208 098.0580 219.1484 0009401 015.8795 344.2652 14.68134661    86"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T09:58:19","18 SPCS","TBA - TO BE ASSIGNED","2013-037C","EARTH","TEME","UTC","SGP4","2013-07-20T12:10:07.057632","14.67618534","0.00070790","98.0597","219.1494","17.2132","342.9247","0","U","39210","999","8","0.00000000000000","-0.00000048","0.0000000000000","7046.822","98.118","673.675","663.698","TBA","","","","","","1519114","93375042","0 TBA - TO BE ASSIGNED","1 39210U 13037C   13201.50702613 -.00000048  00000-0  00000+0 0  9992","2 39210 098.0597 219.1494 0007079 017.2132 342.9247 14.67618534    88"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T09:58:19","18 SPCS","TBA - TO BE ASSIGNED","2013-037B","EARTH","TEME","UTC","SGP4","2013-07-20T12:10:19.285823","14.67204685","0.00052700","98.0588","219.1481","16.8108","343.3198","0","U","39209","999","7","0.00000000000000","-0.00000048","0.0000000000000","7048.147","98.145","673.726","666.298","TBA","","","","","","1519114","93375038","0 TBA - TO BE ASSIGNED","1 39209U 13037B   13201.50716766 -.00000048  00000-0  00000+0 0  9994","2 39209 098.0588 219.1481 0005270 016.8108 343.3198 14.67204685    78"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T17:54:00","18 SPCS","TBA - TO BE ASSIGNED","2013-037A","EARTH","TEME","UTC","SGP4","2013-07-20T20:20:34.833695","14.68129706","0.00092440","98.0581","219.4830","16.5427","343.6085","0","U","39208","999","13","0.00000000000000","-0.00000048","0.0000000000000","7045.186","98.083","673.564","660.539","TBA","","","","","","1519329","93377597","0 TBA - TO BE ASSIGNED","1 39208U 13037A   13201.84762539 -.00000048  00000-0  00000+0 0  9999","2 39208 098.0581 219.4830 0009244 016.5427 343.6085 14.68129706   133"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T17:54:00","18 SPCS","TBA - TO BE ASSIGNED","2013-037C","EARTH","TEME","UTC","SGP4","2013-07-20T20:21:00.300959","14.67616450","0.00067020","98.0593","219.4834","17.9595","342.1857","0","U","39210","999","13","0.00000000000000","-0.00000048","0.0000000000000","7046.829","98.118","673.416","663.971","TBA","","","","","","1519329","93377603","0 TBA - TO BE ASSIGNED","1 39210U 13037C   13201.84792015 -.00000048  00000-0  00000+0 0  9994","2 39210 098.0593 219.4834 0006702 017.9595 342.1857 14.67616450   137"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T17:54:00","18 SPCS","TBA - TO BE ASSIGNED","2013-037B","EARTH","TEME","UTC","SGP4","2013-07-20T20:21:20.900448","14.67201638","0.00050580","98.0587","219.4825","16.6462","343.4920","0","U","39209","999","12","0.00000000000000","-0.00000048","0.0000000000000","7048.157","98.146","673.587","666.457","TBA","","","","","","1519329","93377595","0 TBA - TO BE ASSIGNED","1 39209U 13037B   13201.84815857 -.00000048  00000-0  00000+0 0  9992","2 39209 098.0587 219.4825 0005058 016.6462 343.4920 14.67201638   122"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2013-07-20T18:41:46","18 SPCS","TBA - TO BE ASSIGNED","2013-037C","EARTH","TEME","UTC","SGP4","2013-07-20T23:37:21.531072","14.67617386","0.00066510","98.0589","219.6171","17.2129","342.9330","0","U","39210","999","15","0.00000000000000","-0.00000048","0.0000000000000","7046.826","98.118","673.377","664.004","TBA","","","","","","1519348","93377795","0 TBA - TO BE ASSIGNED","1 39210U 13037C   13201.98427698 -.00000048  00000-0  00000+0 0  9991","2 39210 098.0589 219.6171 0006651 017.2129 342.9330 14.67617386   152"
