CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2012-06-01T01:08:56","18 SPCS","BLITS","2009-049G","EARTH","TEME","UTC","SGP4","2012-06-01T02:09:45.705312","14.21581421","0.00045140","98.6479","206.8946","89.3965","270.7732","0","U","35871","999","13967","0.00001891300000","-0.00000002","0.0000000000000","7198.151","101.295","823.265","816.766","PAYLOAD","SMALL","CIS","2009-09-17","TTMTR","","1295219","88922433","0 BLITS","1 35871U 09049G   12153.09011233 -.00000002  00000-0  18913-4 0  9996","2 35871 098.6479 206.8946 0004514 089.3965 270.7732 14.21581421139671"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2012-06-01T16:46:14","18 SPCS","BLITS","2009-049G","EARTH","TEME","UTC","SGP4","2012-06-01T15:40:35.110559","14.21581413","0.00045250","98.6478","207.4463","88.7093","271.4599","0","U","35871","999","13975","0.00001749300000","-0.00000005","0.0000000000000","7198.151","101.295","823.273","816.758","PAYLOAD","SMALL","CIS","2009-09-17","TTMTR","","1295586","88936606","0 BLITS","1 35871U 09049G   12153.65318415 -.00000005  00000-0  17493-4 0  9995","2 35871 098.6478 207.4463 0004525 088.7093 271.4599 14.21581413139757"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2012-06-02T00:55:21","18 SPCS","BLITS","2009-049G","EARTH","TEME","UTC","SGP4","2012-06-02T01:48:42.172704","14.21581467","0.00045330","98.6478","207.8601","87.7406","272.4296","0","U","35871","999","13981","0.00001769600000","-0.00000004","0.0000000000000","7198.150","101.295","823.278","816.753","PAYLOAD","SMALL","CIS","2009-09-17","TTMTR","","1295740","88939046","0 BLITS","1 35871U 09049G   12154.07548811 -.00000004  00000-0  17696-4 0  9991","2 35871 098.6478 207.8601 0004533 087.7406 272.4296 14.21581467139812"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2012-06-02T08:55:15","18 SPCS","BLITS","2009-049G","EARTH","TEME","UTC","SGP4","2012-06-02T03:30:03.340799","14.21581416","0.00045720","98.6477","207.9291","88.2808","271.8893","0","U","35871","999","13982","0.00001465800000","-0.00000011","0.0000000000000","7198.151","101.295","823.307","816.725","PAYLOAD","SMALL","CIS","2009-09-17","TTMTR","","1295875","88949334","0 BLITS","1 35871U 09049G   12154.14587200 -.00000011  00000-0  14658-4 0  9997","2 35871 098.6477 207.9291 0004572 088.2808 271.8893 14.21581416139823"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2012-06-02T16:44:32","18 SPCS","BLITS","2009-049G","EARTH","TEME","UTC","SGP4","2012-06-02T17:00:52.750368","14.21581323","0.00045370","98.6477","208.4822","86.9027","273.2664","0","U","35871","999","13990","0.00000973670000","-0.00000022","0.0000000000000","7198.151","101.295","823.282","816.750","PAYLOAD","SMALL","CIS","2009-09-17","TTMTR","","1295988","88952013","0 BLITS","1 35871U 09049G   12154.70894387 -.00000022  00000-0  97367-5 0  9997","2 35871 098.6477 208.4822 0004537 086.9027 273.2664 14.21581323139906"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2012-06-03T00:46:01","18 SPCS","BLITS","2009-049G","EARTH","TEME","UTC","SGP4","2012-06-03T01:27:38.640959","14.21581399","0.00045220","98.6480","208.8272","85.8921","274.2786","0","U","35871","999","13995","0.00001114300000","-0.00000019","0.0000000000000","7198.151","101.295","823.271","816.761","PAYLOAD","SMALL","CIS","2009-09-17","TTMTR","","1296086","88954131","0 BLITS","1 35871U 09049G   12155.06086390 -.00000019  00000-0  11143-4 0  9997","2 35871 098.6480 208.8272 0004522 085.8921 274.2786 14.21581399139952"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2012-06-03T09:07:36","18 SPCS","BLITS","2009-049G","EARTH","TEME","UTC","SGP4","2012-06-03T03:08:59.796960","14.21581459","0.00045130","98.6473","208.8965","86.0398","274.1306","0","U","35871","999","13996","0.00001218300000","-0.00000017","0.0000000000000","7198.150","101.295","823.264","816.767","PAYLOAD","SMALL","CIS","2009-09-17","TTMTR","","1296299","88963979","0 BLITS","1 35871U 09049G   12155.13124765 -.00000017  00000-0  12183-4 0  9997","2 35871 098.6473 208.8965 0004513 086.0398 274.1306 14.21581459139969"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2012-06-03T16:44:30","18 SPCS","BLITS","2009-049G","EARTH","TEME","UTC","SGP4","2012-06-03T16:39:49.178879","14.21581408","0.00045200","98.6477","209.4490","85.1125","275.0564","0","U","35871","999","14004","0.00000886690000","-0.00000024","0.0000000000000","7198.151","101.295","823.269","816.762","PAYLOAD","SMALL","CIS","2009-09-17","TTMTR","","1296432","88966552","0 BLITS","1 35871U 09049G   12155.69431920 -.00000024  00000-0  88669-5 0  9993","2 35871 098.6477 209.4490 0004520 085.1125 275.0564 14.21581408140040"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2012-06-04T00:46:45","18 SPCS","BLITS","2009-049G","EARTH","TEME","UTC","SGP4","2012-06-04T01:06:35.066880","14.21581459","0.00045180","98.6477","209.7937","84.1135","276.0562","0","U","35871","999","14009","0.00001000600000","-0.00000021","0.0000000000000","7198.150","101.295","823.268","816.763","PAYLOAD","SMALL","CIS","2009-09-17","TTMTR","","1296540","88968988","0 BLITS","1 35871U 09049G   12156.04623920 -.00000021  00000-0  10006-4 0  9992","2 35871 098.6477 209.7937 0004518 084.1135 276.0562 14.21581459140096"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2012-06-04T08:51:33","18 SPCS","BLITS","2009-049G","EARTH","TEME","UTC","SGP4","2012-06-04T02:47:56.234975","14.21581460","0.00045260","98.6477","209.8630","84.2210","275.9488","0","U","35871","999","14010","0.00000911100000","-0.00000023","0.0000000000000","7198.150","101.295","823.273","816.758","PAYLOAD","SMALL","CIS","2009-09-17","TTMTR","","1296681","88978990","0 BLITS","1 35871U 09049G   12156.11662309 -.00000023  00000-0  91110-5 0  9992","2 35871 098.6477 209.8630 0004526 084.2210 275.9488 14.21581460140100"
