CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2008-11-01T08:12:34","18 SPCS","IRIDIUM 33","1997-051C","EARTH","TEME","UTC","SGP4","2008-11-01T12:39:00.760032","14.34222051","0.00022040","86.4014","163.5530","77.8629","282.2817","0","U","24946","999","58296","0.00005710900000","0.00000180","0.0000000000000","7155.794","100.402","779.236","776.082","PAYLOAD","LARGE","US","1997-09-14","TTMTR","","627096","68588843","0 IRIDIUM 33","1 24946U 97051C   08306.52709213  .00000180  00000-0  57109-4 0  9998","2 24946 086.4014 163.5530 0002204 077.8629 282.2817 14.34222051582964"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2008-11-03T04:57:27","18 SPCS","IRIDIUM 33","1997-051C","EARTH","TEME","UTC","SGP4","2008-11-01T14:19:28.736832","14.34222103","0.00022040","86.4014","163.5242","77.7159","282.4285","0","U","24946","999","58297","0.00006236400000","0.00000194","0.0000000000000","7155.794","100.402","779.236","776.082","PAYLOAD","LARGE","US","1997-09-14","TTMTR","","627308","68591403","0 IRIDIUM 33","1 24946U 97051C   08306.59686038  .00000194  00000-0  62364-4 0  9998","2 24946 086.4014 163.5242 0002204 077.7159 282.4285 14.34222103582971"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2008-11-03T05:08:39","18 SPCS","COSMOS 2251","1993-036A","EARTH","TEME","UTC","SGP4","2008-11-01T19:36:32.438303","14.31129351","0.00172220","74.0370","201.0024","300.6050","59.3398","0","U","22675","999","80315","0.00000597640000","-0.00000010","0.0000000000000","7166.099","100.619","800.306","775.623","PAYLOAD","LARGE","CIS","1993-06-16","PKMTR","","627330","68591887","0 COSMOS 2251","1 22675U 93036A   08306.81704211 -.00000010  00000-0  59764-5 0  9992","2 22675 074.0370 201.0024 0017222 300.6050 059.3398 14.31129351803156"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2008-11-03T06:44:39","18 SPCS","IRIDIUM 33","1997-051C","EARTH","TEME","UTC","SGP4","2008-11-02T13:46:00.514848","14.34222015","0.00021850","86.4013","163.1166","77.1481","282.9971","0","U","24946","999","58311","0.00004214400000","0.00000138","0.0000000000000","7155.794","100.402","779.223","776.096","PAYLOAD","LARGE","US","1997-09-14","TTMTR","","627587","68597627","0 IRIDIUM 33","1 24946U 97051C   08307.57361707  .00000138  00000-0  42144-4 0  9992","2 24946 086.4013 163.1166 0002185 077.1481 282.9971 14.34222015583117"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2008-11-03T07:41:39","18 SPCS","COSMOS 2251","1993-036A","EARTH","TEME","UTC","SGP4","2008-11-03T01:48:25.283231","14.31129647","0.00172000","74.0371","198.7115","297.9148","62.0263","0","U","22675","999","80333","0.00001485100000","0.00000013","0.0000000000000","7166.098","100.619","800.289","775.638","PAYLOAD","LARGE","CIS","1993-06-16","PKMTR","","627741","68601049","0 COSMOS 2251","1 22675U 93036A   08308.07529263  .00000013  00000-0  14851-4 0  9993","2 22675 074.0371 198.7115 0017200 297.9148 062.0263 14.31129647803332"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2008-11-03T08:49:56","18 SPCS","IRIDIUM 33","1997-051C","EARTH","TEME","UTC","SGP4","2008-11-03T14:53:00.249791","14.34221683","0.00021990","86.4011","162.6796","78.3830","281.7610","0","U","24946","999","58326","0.00000977100000","0.00000047","0.0000000000000","7155.795","100.402","779.234","776.087","PAYLOAD","LARGE","US","1997-09-14","TTMTR","","627911","68605008","0 IRIDIUM 33","1 24946U 97051C   08308.62014178  .00000047  00000-0  97710-5 0  9995","2 24946 086.4011 162.6796 0002199 078.3830 281.7610 14.34221683583267"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2008-11-04T09:12:36","18 SPCS","IRIDIUM 33","1997-051C","EARTH","TEME","UTC","SGP4","2008-11-03T16:33:28.243008","14.34221532","0.00022040","86.4012","162.6505","78.9414","281.2026","0","U","24946","999","58327","-0.00000177710000","0.00000015","0.0000000000000","7155.796","100.402","779.238","776.084","PAYLOAD","LARGE","US","1997-09-14","TTMTR","","628388","68616820","0 IRIDIUM 33","1 24946U 97051C   08308.68991022 +.00000015 +00000-0 -17771-5 0  9998","2 24946 086.4012 162.6505 0002204 078.9414 281.2026 14.34221532583277"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2008-11-04T09:12:36","18 SPCS","COSMOS 2251","1993-036A","EARTH","TEME","UTC","SGP4","2008-11-03T18:35:01.288608","14.31129972","0.00171900","74.0370","197.4386","296.4705","63.4695","0","U","22675","999","80343","0.00002351900000","0.00000036","0.0000000000000","7166.097","100.619","800.281","775.644","PAYLOAD","LARGE","CIS","1993-06-16","PKMTR","","628388","68616450","0 COSMOS 2251","1 22675U 93036A   08308.77432047 +.00000036 +00000-0 +23519-4 0  9999","2 22675 074.0370 197.4386 0017190 296.4705 063.4695 14.31129972803434"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2008-11-03T22:46:56","18 SPCS","COSMOS 2251","1993-036A","EARTH","TEME","UTC","SGP4","2008-11-04T02:58:19.274016","14.31130004","0.00171990","74.0372","196.8023","295.8087","64.1287","0","U","22675","999","80348","0.00002266100000","0.00000034","0.0000000000000","7166.097","100.619","800.287","775.637","PAYLOAD","LARGE","CIS","1993-06-16","PKMTR","","628169","68607541","0 COSMOS 2251","1 22675U 93036A   08309.12383419  .00000034  00000-0  22661-4 0  9992","2 22675 074.0372 196.8023 0017199 295.8087 064.1287 14.31130004803480"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2008-11-04T08:23:10","18 SPCS","IRIDIUM 33","1997-051C","EARTH","TEME","UTC","SGP4","2008-11-04T14:19:32.013983","14.34221657","0.00021950","86.4010","162.2720","78.0171","282.1270","0","U","24946","999","58340","0.00001158700000","0.00000052","0.0000000000000","7155.795","100.402","779.231","776.090","PAYLOAD","LARGE","US","1997-09-14","TTMTR","","628374","68611947","0 IRIDIUM 33","1 24946U 97051C   08309.59689831  .00000052  00000-0  11587-4 0  9999","2 24946 086.4010 162.2720 0002195 078.0171 282.1270 14.34221657583404"
