CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2009-02-06T14:25:20","18 SPCS","IRIDIUM 33","1997-051C","EARTH","TEME","UTC","SGP4","2009-02-06T18:49:35.657472","14.34218976","0.00022650","86.3993","122.9552","85.4641","274.6808","0","U","24946","999","59690","0.00003085200000","0.00000106","0.0000000000000","7155.804","100.403","779.290","776.048","PAYLOAD","LARGE","US","1997-09-14","TTMTR","","669006","69812918","0 IRIDIUM 33","1 24946U 97051C   09037.78444048  .00000106  00000-0  30852-4 0  9994","2 24946 086.3993 122.9552 0002265 085.4641 274.6808 14.34218976596903"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2009-02-07T08:01:35","18 SPCS","COSMOS 2251","1993-036A","EARTH","TEME","UTC","SGP4","2009-02-06T21:53:12.354719","14.31135215","0.00160950","74.0355","24.1758","104.4460","255.8485","0","U","22675","999","81704","-0.00000213720000","-0.00000031","0.0000000000000","7166.080","100.619","799.479","776.411","PAYLOAD","LARGE","CIS","1993-06-16","PKMTR","","669330","69822095","0 COSMOS 2251","1 22675U 93036A   09037.91194855 -.00000031 +00000-0 -21372-5 0  9990","2 22675 074.0355 024.1758 0016095 104.4460 255.8485 14.31135215817048"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2009-02-06T22:32:01","18 SPCS","COSMOS 2251","1993-036A","EARTH","TEME","UTC","SGP4","2009-02-07T02:55:11.096543","14.31135293","0.00160830","74.0359","23.7939","103.9527","256.3415","0","U","22675","999","81707","0.00000115940000","-0.00000023","0.0000000000000","7166.080","100.619","799.470","776.419","PAYLOAD","LARGE","CIS","1993-06-16","PKMTR","","669172","69815263","0 COSMOS 2251","1 22675U 93036A   09038.12165621 -.00000023  00000-0  11594-5 0  9998","2 22675 074.0359 023.7939 0016083 103.9527 256.3415 14.31135293817071"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2009-02-07T06:53:07","18 SPCS","IRIDIUM 33","1997-051C","EARTH","TEME","UTC","SGP4","2009-02-07T11:34:15.594815","14.34219027","0.00022190","86.3996","122.6644","83.8995","276.2452","0","U","24946","999","59700","0.00002380400000","0.00000086","0.0000000000000","7155.804","100.403","779.257","776.081","PAYLOAD","LARGE","US","1997-09-14","TTMTR","","669320","69817755","0 IRIDIUM 33","1 24946U 97051C   09038.48212494  .00000086  00000-0  23804-4 0  9996","2 24946 086.3996 122.6644 0002219 083.8995 276.2452 14.34219027597001"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2009-02-08T09:16:55","18 SPCS","COSMOS 2251","1993-036A","EARTH","TEME","UTC","SGP4","2009-02-07T21:22:26.515488","14.31135381","0.00160680","74.0354","22.3935","102.2399","258.0553","0","U","22675","999","81718","0.00000493050000","-0.00000013","0.0000000000000","7166.079","100.619","799.459","776.430","PAYLOAD","LARGE","CIS","1993-06-16","PKMTR","","669691","69835855","0 COSMOS 2251","1 22675U 93036A   09038.89058467 -.00000013 +00000-0 +49305-5 0  9991","2 22675 074.0354 022.3935 0016068 102.2399 258.0553 14.31135381817181"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2009-02-08T09:16:55","18 SPCS","IRIDIUM 33","1997-051C","EARTH","TEME","UTC","SGP4","2009-02-07T21:37:03.541151","14.34219243","0.00022490","86.3996","122.4895","84.4993","275.6459","0","U","24946","999","59706","0.00003513100000","0.00000118","0.0000000000000","7155.803","100.403","779.278","776.059","PAYLOAD","LARGE","US","1997-09-14","TTMTR","","669691","69836202","0 IRIDIUM 33","1 24946U 97051C   09038.90073543 +.00000118 +00000-0 +35131-4 0  9995","2 24946 086.3996 122.4895 0002249 084.4993 275.6459 14.34219243597061"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2009-02-08T06:38:20","18 SPCS","COSMOS 2251","1993-036A","EARTH","TEME","UTC","SGP4","2009-02-08T10:47:43.175327","14.31135575","0.00160460","74.0357","21.3748","100.9148","259.3817","0","U","22675","999","81726","0.00001020200000","0.00000001","0.0000000000000","7166.079","100.619","799.442","776.445","PAYLOAD","LARGE","CIS","1993-06-16","PKMTR","","669660","69830845","0 COSMOS 2251","1 22675U 93036A   09039.44980527  .00000001  00000-0  10202-4 0  9993","2 22675 074.0357 021.3748 0016046 100.9148 259.3817 14.31135575817269"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2009-02-09T08:59:07","18 SPCS","COSMOS 2251","1993-036A","EARTH","TEME","UTC","SGP4","2009-02-08T12:28:22.744415","14.31135543","0.00160450","74.0356","21.2473","100.8058","259.4899","0","U","22675","999","81727","0.00000879830000","-0.00000003","0.0000000000000","7166.079","100.619","799.442","776.446","PAYLOAD","LARGE","CIS","1993-06-16","PKMTR","","670155","69850867","0 COSMOS 2251","1 22675U 93036A   09039.51970769 -.00000003 +00000-0 +87983-5 0  9992","2 22675 074.0356 021.2473 0016045 100.8058 259.4899 14.31135543817277"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2009-02-08T13:35:13","18 SPCS","IRIDIUM 33","1997-051C","EARTH","TEME","UTC","SGP4","2009-02-08T16:02:11.432831","14.34219784","0.00022680","86.3996","122.1691","85.1934","274.9529","0","U","24946","999","59717","0.00006327300000","0.00000197","0.0000000000000","7155.801","100.403","779.289","776.044","PAYLOAD","LARGE","US","1997-09-14","TTMTR","","669773","69839930","0 IRIDIUM 33","1 24946U 97051C   09039.66818788  .00000197  00000-0  63273-4 0  9992","2 24946 086.3996 122.1691 0002268 085.1934 274.9529 14.34219784597178"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2009-02-09T08:59:07","18 SPCS","IRIDIUM 33","1997-051C","EARTH","TEME","UTC","SGP4","2009-02-08T19:23:07.409759","14.34219660","0.00022640","86.3996","122.1108","85.3765","274.7689","0","U","24946","999","59719","0.00005050300000","0.00000161","0.0000000000000","7155.802","100.403","779.287","776.047","PAYLOAD","LARGE","US","1997-09-14","TTMTR","","670155","69851216","0 IRIDIUM 33","1 24946U 97051C   09039.80772465 +.00000161 +00000-0 +50503-4 0  9992","2 24946 086.3996 122.1108 0002264 085.3765 274.7689 14.34219660597191"
