CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-12-08T17:50:12","18 SPCS","ISS (ZARYA)","1998-067A","EARTH","TEME","UTC","SGP4","2019-12-08T15:51:30.697344","15.50097716","0.00073950","51.6436","216.3185","13.0033","84.0775","0","U","25544","999","20232","0.00003136000000","0.00001338","0.0000000000000","6794.577","92.897","421.467","411.417","PAYLOAD","LARGE","ISS","1998-11-20","TTMTR","","2663309","144348837","0 ISS (ZARYA)","1 25544U 98067A   19342.66077196  .00001338  00000-0  31360-4 0  9993","2 25544  51.6436 216.3185 0007395  13.0033  84.0775 15.50097716202328"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-12-08T18:30:14","18 SPCS","ISS (ZARYA)","1998-067A","EARTH","TEME","UTC","SGP4","2019-12-08T15:51:30.697344","15.50097716","0.00073950","51.6436","216.3185","13.0033","84.0775","0","U","25544","999","20232","0.00003136000000","0.00001338","0.0000000000000","6794.577","92.897","421.467","411.417","PAYLOAD","LARGE","ISS","1998-11-20","TTMTR","","2663326","144349129","0 ISS (ZARYA)","1 25544U 98067A   19342.66077196  .00001338  00000-0  31360-4 0  9993","2 25544  51.6436 216.3185 0007395  13.0033  84.0775 15.50097716202328"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-12-08T20:00:20","18 SPCS","ISS (ZARYA)","1998-067A","EARTH","TEME","UTC","SGP4","2019-12-08T19:02:47.243904","15.50097838","0.00073950","51.6436","215.6601","13.4922","105.3193","0","U","25544","999","20234","0.00003037100000","0.00001281","0.0000000000000","6794.577","92.897","421.466","411.417","PAYLOAD","LARGE","ISS","1998-11-20","TTMTR","","2663338","144349758","0 ISS (ZARYA)","1 25544U 98067A   19342.79360236  .00001281  00000-0  30371-4 0  9995","2 25544  51.6436 215.6601 0007395  13.4922 105.3193 15.50097838202342"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-12-08T22:40:14","18 SPCS","ISS (ZARYA)","1998-067A","EARTH","TEME","UTC","SGP4","2019-12-08T22:24:06.000192","15.50098325","0.00073950","51.6436","214.9672","14.0063","165.4564","0","U","25544","999","20236","0.00003037100000","0.00001281","0.0000000000000","6794.575","92.897","421.465","411.416","PAYLOAD","LARGE","ISS","1998-11-20","TTMTR","","2663476","144391619","0 ISS (ZARYA)","1 25544U 98067A   19342.93340278  .00001281  00000-0  30371-4 0  9995","2 25544  51.6436 214.9672 0007395  14.0063 165.4564 15.50098325202368"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-12-09T05:30:12","18 SPCS","ISS (ZARYA)","1998-067A","EARTH","TEME","UTC","SGP4","2019-12-09T02:54:23.218848","15.50101469","0.00073390","51.6438","214.0363","15.6687","131.9211","0","U","25544","999","20239","0.00004047900000","0.00001861","0.0000000000000","6794.566","92.897","421.418","411.445","PAYLOAD","LARGE","ISS","1998-11-20","TTMTR","","2663492","144449571","0 ISS (ZARYA)","1 25544U 98067A   19343.12110207  .00001861  00000-0  40479-4 0  9998","2 25544  51.6438 214.0363 0007339  15.6687 131.9211 15.50101469202399"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-12-09T07:00:13","18 SPCS","ISS (ZARYA)","1998-067A","EARTH","TEME","UTC","SGP4","2019-12-09T04:26:50.443584","15.50101724","0.00073390","51.6438","213.7181","15.8766","130.2316","0","U","25544","999","20240","0.00004029500000","0.00001850","0.0000000000000","6794.565","92.897","421.417","411.444","PAYLOAD","LARGE","ISS","1998-11-20","TTMTR","","2663586","144451608","0 ISS (ZARYA)","1 25544U 98067A   19343.18530606  .00001850  00000-0  40295-4 0  9997","2 25544  51.6438 213.7181 0007339  15.8766 130.2316 15.50101724202407"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-12-09T14:10:13","18 SPCS","ISS (ZARYA)","1998-067A","EARTH","TEME","UTC","SGP4","2019-12-09T13:27:13.767264","15.50103615","0.00074170","51.6439","211.8585","17.1781","64.4583","0","U","25544","999","20246","0.00004085800000","0.00001883","0.0000000000000","6794.560","92.897","421.464","411.385","PAYLOAD","LARGE","ISS","1998-11-20","TTMTR","","2663597","144451619","0 ISS (ZARYA)","1 25544U 98067A   19343.56057601  .00001883  00000-0  40858-4 0  9999","2 25544  51.6439 211.8585 0007417  17.1781  64.4583 15.50103615202465"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-12-09T14:40:18","18 SPCS","ISS (ZARYA)","1998-067A","EARTH","TEME","UTC","SGP4","2019-12-09T13:27:13.767264","15.50102624","0.00074170","51.6439","211.8585","17.1781","64.4562","0","U","25544","999","20246","0.00003779100000","0.00001707","0.0000000000000","6794.563","92.897","421.467","411.388","PAYLOAD","LARGE","ISS","1998-11-20","TTMTR","","2663720","144454649","0 ISS (ZARYA)","1 25544U 98067A   19343.56057601  .00001707  00000-0  37791-4 0  9996","2 25544  51.6439 211.8585 0007417  17.1781  64.4562 15.50102624202461"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-12-09T16:10:13","18 SPCS","ISS (ZARYA)","1998-067A","EARTH","TEME","UTC","SGP4","2019-12-09T13:27:13.767264","15.50102624","0.00074170","51.6439","211.8585","17.1781","64.4562","0","U","25544","999","20246","0.00003779100000","0.00001707","0.0000000000000","6794.563","92.897","421.467","411.388","PAYLOAD","LARGE","ISS","1998-11-20","TTMTR","","2663802","144456578","0 ISS (ZARYA)","1 25544U 98067A   19343.56057601  .00001707  00000-0  37791-4 0  9996","2 25544  51.6439 211.8585 0007417  17.1781  64.4562 15.50102624202461"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-12-09T17:40:12","18 SPCS","ISS (ZARYA)","1998-067A","EARTH","TEME","UTC","SGP4","2019-12-09T16:38:29.363424","15.50103472","0.00074170","51.6439","211.2001","17.6667","85.6398","0","U","25544","999","20248","0.00003879200000","0.00001764","0.0000000000000","6794.560","92.897","421.465","411.386","PAYLOAD","LARGE","ISS","1998-11-20","TTMTR","","2663814","144456713","0 ISS (ZARYA)","1 25544U 98067A   19343.69339541  .00001764  00000-0  38792-4 0  9991","2 25544  51.6439 211.2001 0007417  17.6667  85.6398 15.50103472202482"
