CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"60244100","2020-11-25 11:11:39.000000","Y","2020-11-27T11:46:21.950000","236","0.0001715743","7727","COSMOS 724","PAYLOAD","LARGE","5.00","37579","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"60244149","2020-11-25 11:12:03.000000","Y","2020-11-25T22:15:00.479000","2546","","10489","METEOSAT 1","PAYLOAD","LARGE","0.00","10722","ATLAS CENTAUR R/B","ROCKET BODY","LARGE","0.00"
"60244157","2020-11-25 11:12:04.000000","Y","2020-11-25T22:15:00.479000","2546","","10722","ATLAS CENTAUR R/B","ROCKET BODY","LARGE","0.00","10489","METEOSAT 1","PAYLOAD","LARGE","0.00"
"60245261","2020-11-25 11:11:40.000000","Y","2020-11-25T18:46:52.631000","262","0.001848732","23710","RADARSAT","PAYLOAD","LARGE","5.00","81202","UNKNOWN","UNKNOWN","","3.00"
"60245441","2020-11-25 11:12:25.000000","Y","2020-11-26T14:31:33.119000","3645","","25642","RADUGA 1-4","PAYLOAD","LARGE","0.00","26808","ARIANE 44LP DEB","DEBRIS","MEDIUM","0.00"
"60245761","2020-11-25 11:12:25.000000","Y","2020-11-26T14:31:33.119000","3645","","26808","ARIANE 44LP DEB","DEBRIS","MEDIUM","0.00","25642","RADUGA 1-4","PAYLOAD","LARGE","0.00"
"60297991","2020-11-25 16:59:43.000000","Y","2020-11-27T11:46:21.940000","133","0.000174743","7727","COSMOS 724","PAYLOAD","LARGE","5.00","37579","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"60298041","2020-11-25 17:57:13.000000","Y","2020-11-25T22:15:00.477000","2543","","10489","METEOSAT 1","PAYLOAD","LARGE","0.00","10722","ATLAS CENTAUR R/B","ROCKET BODY","LARGE","0.00"
"60298050","2020-11-25 17:57:13.000000","Y","2020-11-25T22:15:00.477000","2543","","10722","ATLAS CENTAUR R/B","ROCKET BODY","LARGE","0.00","10489","METEOSAT 1","PAYLOAD","LARGE","0.00"
"60299241","2020-11-25 16:59:59.000000","Y","2020-11-25T18:46:52.627000","268","0.001560198","23710","RADARSAT","PAYLOAD","LARGE","5.00","81202","UNKNOWN","UNKNOWN","","3.00"
"60299292","2020-11-25 17:57:15.000000","Y","2020-11-28T13:39:43.027000","2698","","24292","MAGION 5","PAYLOAD","LARGE","0.00","39164","BREEZE-M R/B","ROCKET BODY","LARGE","0.00"
"60299419","2020-11-25 17:57:26.000000","Y","2020-11-26T14:31:33.229000","3597","","25642","RADUGA 1-4","PAYLOAD","LARGE","0.00","26808","ARIANE 44LP DEB","DEBRIS","MEDIUM","0.00"
"60299702","2020-11-25 17:57:26.000000","Y","2020-11-26T14:31:33.229000","3597","","26808","ARIANE 44LP DEB","DEBRIS","MEDIUM","0.00","25642","RADUGA 1-4","PAYLOAD","LARGE","0.00"
"60300623","2020-11-25 16:59:40.000000","Y","2020-11-26T17:59:00.210000","104","0.0002988844","31202","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","33782","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"60301340","2020-11-25 16:59:41.000000","Y","2020-11-26T17:59:00.210000","104","0.0002988844","33782","COSMOS 2251 DEB","DEBRIS","SMALL","1.00","31202","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"60302339","2020-11-25 17:57:15.000000","Y","2020-11-28T13:39:43.027000","2698","","39164","BREEZE-M R/B","ROCKET BODY","LARGE","0.00","24292","MAGION 5","PAYLOAD","LARGE","0.00"
"60352038","2020-11-25 23:07:41.000000","Y","2020-11-27T11:46:21.937000","112","0.0001895355","7727","COSMOS 724","PAYLOAD","LARGE","5.00","37579","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"60352775","2020-11-25 23:07:49.000000","Y","2020-11-28T22:45:25.469000","416","0.001028781","21087","INFORMATOR 1","PAYLOAD","LARGE","5.00","42098","COSMOS 1275 DEB","DEBRIS","SMALL","1.00"
"60352847","2020-11-25 23:07:27.000000","Y","2020-11-28T19:02:11.471000","175","0.006703971","22489","OXP 1","PAYLOAD","LARGE","5.00","25027","SL-8 DEB","DEBRIS","SMALL","1.00"
