CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-06-01T23:00:28","18 SPCS","AEOLUS","2018-066A","EARTH","TEME","UTC","SGP4","2019-06-01T13:48:31.433184","15.86678821","0.00060550","96.7190","159.6647","102.7064","257.5112","0","U","43600","999","4481","0.00000000000000","-0.00000137","0.0000000000000","6689.738","90.755","315.654","307.553","PAYLOAD","LARGE","ESA","2018-08-22","FRGUI","","2487295","132385638","0 AEOLUS","1 43600U 18066A   19152.57536381 -.00000137  00000-0  00000+0 0  9991","2 43600  96.7190 159.6647 0006055 102.7064 257.5112 15.86678821 44813"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-06-02T06:50:16","18 SPCS","AEOLUS","2018-066A","EARTH","TEME","UTC","SGP4","2019-06-02T00:24:14.668416","15.86683788","0.00053290","96.7190","160.0986","103.9987","256.2284","0","U","43600","999","4488","0.00000000000000","-0.00000137","0.0000000000000","6689.724","90.755","315.154","308.024","PAYLOAD","LARGE","ESA","2018-08-22","FRGUI","","2487618","132410316","0 AEOLUS","1 43600U 18066A   19153.01683644 -.00000137  00000-0  00000+0 0  9996","2 43600  96.7190 160.0986 0005329 103.9987 256.2284 15.86683788 44886"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-06-02T21:10:11","18 SPCS","AEOLUS","2018-066A","EARTH","TEME","UTC","SGP4","2019-06-02T12:30:46.500192","15.86722953","0.00068480","96.7173","160.6037","104.3381","256.0034","0","U","43600","999","4496","0.00000000000000","-0.00000137","0.0000000000000","6689.614","90.753","316.060","306.898","PAYLOAD","LARGE","ESA","2018-08-22","FRGUI","","2488015","132455802","0 AEOLUS","1 43600U 18066A   19153.52137153 -.00000137  00000-0  00000+0 0  9991","2 43600  96.7173 160.6037 0006848 104.3381 256.0034 15.86722953 44968"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-06-12T06:20:14","18 SPCS","OBJECT AC","2019-029AC","EARTH","TEME","UTC","SGP4","2019-06-02T21:48:16.208352","15.21896794","0.00021870","53.0007","129.0459","88.6425","271.4820","0","U","44261","999","162","0.00002067800000","0.00000147","0.0000000000000","6878.256","94.618","501.625","498.617","TBA","LARGE","US","2019-05-24","AFETR","","2493214","133092211","0 OBJECT AC","1 44261U 19029AC  19153.90852093  .00000147  00000-0  20678-4 0  9992","2 44261  53.0007 129.0459 0002187  88.6425 271.4820 15.21896794  1620"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-06-03T03:48:27","18 SPCS","OBJECT AC","2019-029AC","EARTH","TEME","UTC","SGP4","2019-06-02T22:01:45.813504","15.29770997","0.00016720","53.0011","129.0968","77.0902","283.0283","0","U","44261","999","136","0.00009897700000","0.00002536","0.0000000000000","6854.633","94.131","477.644","475.352","TBA","","US","2019-05-24","AFETR","","2488351","132481141","0 OBJECT AC","1 44261U 19029AC  19153.91789136 +.00002536 +00000-0 +98977-4 0  9991","2 44261 053.0011 129.0968 0001672 077.0902 283.0283 15.29770997001367"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-06-03T06:20:18","18 SPCS","OBJECT AC","2019-029AC","EARTH","TEME","UTC","SGP4","2019-06-02T22:01:45.813504","15.29770997","0.00016720","53.0011","129.0968","77.0902","283.0283","0","U","44261","999","161","0.00009897700000","0.00002536","0.0000000000000","6854.633","94.131","477.644","475.352","TBA","","US","2019-05-24","AFETR","","2488421","132501254","0 OBJECT AC","1 44261U 19029AC  19153.91789136  .00002536  00000-0  98977-4 0  9991","2 44261  53.0011 129.0968 0001672  77.0902 283.0283 15.29770997  1615"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-06-03T05:30:11","18 SPCS","AEOLUS","2018-066A","EARTH","TEME","UTC","SGP4","2019-06-02T23:06:26.930016","15.86740928","0.00074250","96.7192","161.0444","107.3873","252.9214","0","U","43600","999","4503","0.00000000000000","-0.00000138","0.0000000000000","6689.564","90.752","316.396","306.462","PAYLOAD","LARGE","ESA","2018-08-22","FRGUI","","2488367","132500022","0 AEOLUS","1 43600U 18066A   19153.96281169 -.00000138  00000-0  00000+0 0  9997","2 43600  96.7192 161.0444 0007425 107.3873 252.9214 15.86740928 45033"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-06-04T05:40:12","18 SPCS","AEOLUS","2018-066A","EARTH","TEME","UTC","SGP4","2019-06-03T23:19:27.332832","15.86786138","0.00081960","96.7186","162.0292","108.9050","251.4876","0","U","43600","999","4519","0.00000000000000","-0.00000138","0.0000000000000","6689.437","90.749","316.784","305.819","PAYLOAD","LARGE","ESA","2018-08-22","FRGUI","","2489439","132578614","0 AEOLUS","1 43600U 18066A   19154.97184413 -.00000138  00000-0  00000+0 0  9993","2 43600  96.7186 162.0292 0008196 108.9050 251.4876 15.86786138 45196"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-06-04T14:30:16","18 SPCS","AEOLUS","2018-066A","EARTH","TEME","UTC","SGP4","2019-06-04T11:25:54.385824","15.86751309","0.00115490","96.7087","162.5118","105.3152","254.8116","0","U","43600","999","4527","0.00000000000000","-0.00000139","0.0000000000000","6689.535","90.751","319.125","303.674","PAYLOAD","LARGE","ESA","2018-08-22","FRGUI","","2490034","132592351","0 AEOLUS","1 43600U 18066A   19155.47632391 -.00000139  00000-0  00000+0 0  9993","2 43600  96.7087 162.5118 0011549 105.3152 254.8116 15.86751309 45273"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2019-06-04T21:30:11","18 SPCS","AEOLUS","2018-066A","EARTH","TEME","UTC","SGP4","2019-06-04T12:56:43.879200","15.86787993","0.00086970","96.7136","162.5869","109.4276","250.8586","0","U","43600","999","4528","0.00000000000000","-0.00000138","0.0000000000000","6689.431","90.749","317.114","305.479","PAYLOAD","LARGE","ESA","2018-08-22","FRGUI","","2490152","132613147","0 AEOLUS","1 43600U 18066A   19155.53939675 -.00000138  00000-0  00000+0 0  9994","2 43600  96.7136 162.5869 0008697 109.4276 250.8586 15.86787993 45289"
