CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-14T16:06:09","18 SPCS","TBA - TO BE ASSIGNED","2020-070N","EARTH","TEME","UTC","SGP4","2020-10-14T14:00:01.999872","15.90554341","0.00009090","52.9905","43.1021","77.9528","174.4165","0","U","46544","999","209","-0.00395090000000","-0.01104273","0.0000000000000","6678.867","90.534","301.339","300.125","TBA","","","","","","2851943","163456877","0 TBA - TO BE ASSIGNED","1 46544U 20070N   20288.58335648 -.01104273  00000-0 -39509-2 0  9992","2 46544  52.9905  43.1021 0000909  77.9528 174.4165 15.90554341  2098"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-14T17:26:09","18 SPCS","TBA - TO BE ASSIGNED","2020-070N","EARTH","TEME","UTC","SGP4","2020-10-14T16:00:00.999936","15.90357542","0.00009410","52.9905","42.6780","79.8364","289.8845","0","U","46544","999","210","-0.00402900000000","-0.01113493","0.0000000000000","6679.418","90.545","301.912","300.655","TBA","","","","","","2852080","163457017","0 TBA - TO BE ASSIGNED","1 46544U 20070N   20288.66667824 -.01113493  00000-0 -40290-2 0  9998","2 46544  52.9905  42.6780 0000941  79.8364 289.8845 15.90357542  2101"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-15T04:21:20","18 SPCS","TBA - TO BE ASSIGNED","2020-070N","EARTH","TEME","UTC","SGP4","2020-10-14T22:00:05.999904","15.89672108","0.00011500","52.9898","41.4042","44.4933","317.4954","0","U","46544","999","178","-0.00379250000000","-0.01022863","0.0000000000000","6681.338","90.584","303.971","302.435","TBA","","","","","","2852382","163501741","0 TBA - TO BE ASSIGNED","1 46544U 20070N   20288.91673611 -.01022863 +00000-0 -37925-2 0  9998","2 46544 052.9898 041.4042 0001150 044.4933 317.4954 15.89672108001781"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-15T06:56:10","18 SPCS","TBA - TO BE ASSIGNED","2020-070N","EARTH","TEME","UTC","SGP4","2020-10-15T06:00:00.999648","15.88930416","0.00013330","52.9897","39.7084","47.3734","62.5824","0","U","46544","999","219","-0.00432100000000","-0.01110613","0.0000000000000","6683.417","90.627","306.173","304.391","TBA","","","","","","2852581","163505725","0 TBA - TO BE ASSIGNED","1 46544U 20070N   20289.25001157 -.01110613  00000-0 -43210-2 0  9991","2 46544  52.9897  39.7084 0001333  47.3734  62.5824 15.88930416  2198"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-15T18:14:19","18 SPCS","STARLINK-1694","2020-070N","EARTH","TEME","UTC","SGP4","2020-10-15T14:00:01.000224","15.88116874","0.00012750","52.9898","38.0203","53.8353","163.4760","0","U","46544","999","188","-0.00449750000000","-0.01109464","0.0000000000000","6685.699","90.673","308.417","306.712","PAYLOAD","","US","2020-10-06","AFETR","","2852862","163530472","0 STARLINK-1694","1 46544U 20070N   20289.58334491 -.01109464 +00000-0 -44975-2 0  9998","2 46544 052.9898 038.0203 0001275 053.8353 163.4760 15.88116874001887"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-15T20:36:09","18 SPCS","STARLINK-1694","2020-070N","EARTH","TEME","UTC","SGP4","2020-10-15T18:00:00.999648","15.87709717","0.00013300","52.9897","37.1772","45.9785","44.6442","0","U","46544","999","227","-0.00458220000000","-0.01107727","0.0000000000000","6686.842","90.696","309.597","307.818","PAYLOAD","","US","2020-10-06","AFETR","","2853090","163556784","0 STARLINK-1694","1 46544U 20070N   20289.75001157 -.01107727  00000-0 -45822-2 0  9999","2 46544  52.9897  37.1772 0001330  45.9785  44.6442 15.87709717  2274"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-16T03:23:27","18 SPCS","STARLINK-1694","2020-070N","EARTH","TEME","UTC","SGP4","2020-10-15T22:00:00.999936","15.87291515","0.00010780","52.9913","36.3178","51.8369","271.8615","0","U","46544","999","178","-0.00461920000000","-0.01095066","0.0000000000000","6688.017","90.720","310.603","309.161","PAYLOAD","","US","2020-10-06","AFETR","","2853196","163578537","0 STARLINK-1694","1 46544U 20070N   20289.91667824 -.01095066 +00000-0 -46192-2 0  9999","2 46544 052.9913 036.3178 0001078 051.8369 271.8615 15.87291515001780"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-16T07:06:10","18 SPCS","STARLINK-1694","2020-070N","EARTH","TEME","UTC","SGP4","2020-10-16T04:00:00.999936","15.86692920","0.00011050","52.9917","35.0501","54.0099","258.8267","0","U","46544","999","234","-0.00482410000000","-0.01108308","0.0000000000000","6689.699","90.754","312.303","310.824","PAYLOAD","","US","2020-10-06","AFETR","","2853613","163588136","0 STARLINK-1694","1 46544U 20070N   20290.16667824 -.01108308  00000-0 -48241-2 0  9999","2 46544  52.9917  35.0501 0001105  54.0099 258.8267 15.86692920  2341"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-16T18:12:41","18 SPCS","STARLINK-1694","2020-070N","EARTH","TEME","UTC","SGP4","2020-10-16T14:00:01.000224","15.85674767","0.00012330","52.9928","32.9321","71.1140","102.4068","0","U","46544","999","178","-0.00504830000000","-0.01103702","0.0000000000000","6692.562","90.813","315.252","313.602","PAYLOAD","","US","2020-10-06","AFETR","","2853949","163616785","0 STARLINK-1694","1 46544U 20070N   20290.58334491 -.01103702 +00000-0 -50483-2 0  9990","2 46544 052.9928 032.9321 0001233 071.1140 102.4068 15.85674767001786"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-16T22:46:10","18 SPCS","STARLINK-1694","2020-070N","EARTH","TEME","UTC","SGP4","2020-10-16T20:00:01.999872","15.85066558","0.00012010","52.9923","31.6685","69.1235","92.1410","0","U","46544","999","244","-0.00519780000000","-0.01103142","0.0000000000000","6694.274","90.847","316.943","315.335","PAYLOAD","","US","2020-10-06","AFETR","","2854190","163622559","0 STARLINK-1694","1 46544U 20070N   20290.83335648 -.01103142  00000-0 -51978-2 0  9991","2 46544  52.9923  31.6685 0001201  69.1235  92.1410 15.85066558  2440"
