SATELLITE NAME,US SATELLITE NUMBER,BREAKUP DATE,DEBRIS CATALOGED,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,Show,Message
NOAA 8,13923,12/30/1985,5,830,805,98.6,BATTERY,,FALSE,
COSMOS 1934,18985,12/23/1991,3,1010,950,83,"COLLISION, ACCIDENTAL",HIT BY DEBRIS (13475),FALSE,
CERISE,23606,7/24/1996,2,675,665,98.1,"COLLISION, ACCIDENTAL",HIT BY DEBRIS (18208),FALSE,
DMSP 5B F5 R/B,7219,1/17/2005,7,885,775,99.1,"COLLISION, ACCIDENTAL",HIT BY DEBRIS (26207),FALSE,
USA 19 R/B,16938,9/5/1986,5,610,220,22.8,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,FALSE,
USA 19,16937,9/5/1986,13,745,210,39.1,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,FALSE,
COSMOS 50,919,11/5/1964,96,220,175,51.2,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 57,1093,2/22/1965,167,425,165,64.8,DELIBERATE,SELF-DESTRUCT,FALSE,
AS-203,2289,7/5/1966,34,215,185,32,DELIBERATE,SATURN S-IVB STAGE,FALSE,
COSMOS U-1,2437,9/17/1966,52,855,140,49.6,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS U-2,2536,11/2/1966,41,885,145,49.6,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 199,3099,1/24/1968,3,355,200,65.6,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 248,3503,11/1/1968,5,545,475,62.2,DELIBERATE,DEBRIS IMPACT,FALSE,
COSMOS 554,6432,5/6/1973,193,350,170,72.9,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 758,8191,9/6/1975,76,325,175,67.1,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 844,9046,7/25/1976,248,355,170,67.1,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 884,9614,12/29/1976,2,320,170,65,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 1654,15734,6/21/1985,18,300,185,64.9,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 1866,18184,7/26/1987,9,255,155,67.1,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 1906,18713,1/31/1988,37,265,245,82.6,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 1916,18823,2/27/1988,1,230,150,64.8,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 2030,20124,7/28/1989,1,215,150,67.1,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 2031,20136,8/31/1989,9,365,240,50.5,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 2101,20828,11/30/1990,4,280,195,64.8,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 2163,21741,12/6/1991,1,260,185,64.8,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 2225,22280,2/18/1993,6,280,225,64.9,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 2243,22641,4/27/1993,1,225,180,70.4,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 2259,22716,7/25/1993,1,320,175,67.1,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 2262,22789,12/18/1993,1,295,170,64.9,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 2343,24805,9/16/1997,1,285,225,65,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 2399,27856,12/9/2003,22,250,175,64.9,DELIBERATE,SELF-DESTRUCT,FALSE,
COSMOS 2423,29402,11/17/2006,31,285,200,64.9,DELIBERATE,SELF-DESTRUCT,FALSE,
SPUTNIK 29,443,10/29/1962,24,260,200,65.1,PROPULSION,MOLNIYA FINAL STAGE,FALSE,
APOLLO 6 R/B,3171,4/13/1968,16,360,200,32.6,PROPULSION,SATURN S-IVB STAGE,FALSE,
INTELSAT 3 F-5 R/B,4052,7/26/1969,22,5445,270,30.4,PROPULSION,TE 364-4 STAGE,FALSE,
SALYUT 2 R/B,6399,4/3/1973,25,245,195,51.5,PROPULSION,PROTON-K THIRD STAGE,FALSE,
