CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-01-17T22:50:17","18 SPCS","IRIDIUM 159","2018-061K","EARTH","TEME","UTC","SGP4","2020-01-17T20:49:34.912416","14.34216817","0.00019430","86.3984","315.5735","86.9132","273.2286","0","U","43578","999","7765","0.00001634600000","0.00000066","0.0000000000000","7155.807","100.403","779.062","776.281","PAYLOAD","LARGE","US","2018-07-25","AFWTR","","2685768","146912992","0 IRIDIUM 159","1 43578U 18061K   20017.86776519  .00000066  00000-0  16346-4 0  9998","2 43578  86.3984 315.5735 0001943  86.9132 273.2286 14.34216817 77654"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-01-18T17:54:46","18 SPCS","IRIDIUM 159","2018-061K","EARTH","TEME","UTC","SGP4","2020-01-18T10:13:18.939360","14.34216864","0.00019390","86.3984","315.3402","87.0006","273.1411","0","U","43578","999","7773","0.00001550300000","0.00000063","0.0000000000000","7155.807","100.403","779.059","776.284","PAYLOAD","LARGE","US","2018-07-25","AFWTR","","2685968","146955490","0 IRIDIUM 159","1 43578U 18061K   20018.42591365 +.00000063 +00000-0 +15503-4 0  9996","2 43578 086.3984 315.3402 0001939 087.0006 273.1411 14.34216864077730"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-01-19T06:40:19","18 SPCS","IRIDIUM 159","2018-061K","EARTH","TEME","UTC","SGP4","2020-01-18T21:56:34.964448","14.34216898","0.00019450","86.3984","315.1362","87.1945","272.9474","0","U","43578","999","7780","0.00001412900000","0.00000059","0.0000000000000","7155.806","100.403","779.063","776.280","PAYLOAD","LARGE","US","2018-07-25","AFWTR","","2686257","146963058","0 IRIDIUM 159","1 43578U 18061K   20018.91429357  .00000059  00000-0  14129-4 0  9999","2 43578  86.3984 315.1362 0001945  87.1945 272.9474 14.34216898 77804"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-01-19T20:57:00","18 SPCS","IRIDIUM 159","2018-061K","EARTH","TEME","UTC","SGP4","2020-01-19T06:18:54.981504","14.34216932","0.00019470","86.3984","314.9904","87.0582","273.0836","0","U","43578","999","7785","0.00001394500000","0.00000059","0.0000000000000","7155.806","100.403","779.065","776.278","PAYLOAD","LARGE","US","2018-07-25","AFWTR","","2686498","146987041","0 IRIDIUM 159","1 43578U 18061K   20019.26313636 +.00000059 +00000-0 +13945-4 0  9995","2 43578 086.3984 314.9904 0001947 087.0582 273.0836 14.34216932077859"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-01-20T01:15:30","18 SPCS","IRIDIUM 159","2018-061K","EARTH","TEME","UTC","SGP4","2020-01-19T07:59:22.985088","14.34216938","0.00019480","86.3984","314.9612","86.9216","273.2203","0","U","43578","999","7786","0.00001344500000","0.00000057","0.0000000000000","7155.806","100.403","779.065","776.277","PAYLOAD","LARGE","US","2018-07-25","AFWTR","","2686703","147010891","0 IRIDIUM 159","1 43578U 18061K   20019.33290492 +.00000057 +00000-0 +13445-4 0  9990","2 43578 086.3984 314.9612 0001948 086.9216 273.2203 14.34216938077865"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-01-20T06:30:17","18 SPCS","IRIDIUM 159","2018-061K","EARTH","TEME","UTC","SGP4","2020-01-20T04:04:59.025504","14.34216945","0.00019540","86.3985","314.6114","86.8964","273.2455","0","U","43578","999","7798","0.00000975970000","0.00000047","0.0000000000000","7155.806","100.403","779.070","776.273","PAYLOAD","LARGE","US","2018-07-25","AFWTR","","2686802","147014408","0 IRIDIUM 159","1 43578U 18061K   20020.17012761  .00000047  00000-0  97597-5 0  9995","2 43578  86.3985 314.6114 0001954  86.8964 273.2455 14.34216945 77986"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-01-20T18:33:07","18 SPCS","IRIDIUM 159","2018-061K","EARTH","TEME","UTC","SGP4","2020-01-20T07:25:55.030080","14.34216962","0.00019520","86.3985","314.5531","86.8279","273.3140","0","U","43578","999","7800","0.00000910780000","0.00000045","0.0000000000000","7155.806","100.403","779.068","776.274","PAYLOAD","LARGE","US","2018-07-25","AFWTR","","2687050","147038395","0 IRIDIUM 159","1 43578U 18061K   20020.30966470 +.00000045 +00000-0 +91078-5 0  9991","2 43578 086.3985 314.5531 0001952 086.8279 273.3140 14.34216962078000"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-01-21T02:51:18","18 SPCS","IRIDIUM 159","2018-061K","EARTH","TEME","UTC","SGP4","2020-01-20T20:49:39.054432","14.34216974","0.00019530","86.3985","314.3199","86.8816","273.2603","0","U","43578","999","7808","0.00000696440000","0.00000039","0.0000000000000","7155.806","100.403","779.069","776.274","PAYLOAD","LARGE","US","2018-07-25","AFWTR","","2687215","147061513","0 IRIDIUM 159","1 43578U 18061K   20020.86781313 +.00000039 +00000-0 +69644-5 0  9990","2 43578 086.3985 314.3199 0001953 086.8816 273.2603 14.34216974078080"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-01-21T15:49:41","18 SPCS","IRIDIUM 159","2018-061K","EARTH","TEME","UTC","SGP4","2020-01-21T05:11:59.067168","14.34217000","0.00019490","86.3985","314.1742","87.0313","273.1106","0","U","43578","999","7813","0.00000757250000","0.00000041","0.0000000000000","7155.806","100.403","779.066","776.276","PAYLOAD","LARGE","US","2018-07-25","AFWTR","","2687570","147147987","0 IRIDIUM 159","1 43578U 18061K   20021.21665587 +.00000041 +00000-0 +75725-5 0  9994","2 43578 086.3985 314.1742 0001949 087.0313 273.1106 14.34217000078136"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-01-21T14:50:22","18 SPCS","IRIDIUM 159","2018-061K","EARTH","TEME","UTC","SGP4","2020-01-21T08:32:55.070880","14.34217013","0.00019470","86.3985","314.1159","87.0138","273.1280","0","U","43578","999","7815","0.00000713760000","0.00000040","0.0000000000000","7155.806","100.403","779.064","776.278","PAYLOAD","LARGE","US","2018-07-25","AFWTR","","2687489","147127326","0 IRIDIUM 159","1 43578U 18061K   20021.35619295  .00000040  00000-0  71376-5 0  9991","2 43578  86.3985 314.1159 0001947  87.0138 273.1280 14.34217013 78150"
